BinLocationName,ArticleSKU
FK25-10-A,PRO-00-117125-5
FK25-10-B,PRO-00-10755-3
FK25-11-A,PHF-11-10433-3
FK25-11-B,DRY-00-142139-5
FK25-12-A,PRO-00-123234-5
FK25-12-B,SPI-00-101531-5
FK25-13-A,PRO-00-129170-5
FK25-13-B,DRY-00-140908-5
FK25-14-A,PRO-00-123235-5
FK25-14-B,SPI-00-11574-5
FK25-15-A,PHF-11-10867-3
FK25-15-B,PHF-11-102520-3
FK25-16-A,PRO-00-134065-5
FK25-16-B,SPI-00-11573-5
FK25-17-A,PHF-11-10794-3
FK25-17-B,PRO-00-50340-5
FK26-1-A,PHF-11-10136-3
FK26-1-B,PCK-00-102736-5
FK26-2-A,PHF-11-10903-3
FK26-2-B,PHF-11-10164-3
FK26-3-A,PHF-11-132609-5
FK26-3-B,PHF-11-10214-3
FK26-4-A,PHF-11-10416-3
FK26-4-B,SPI-00-50298-5
FK26-5-A,PHF-11-10134-3
FK26-5-B,SPI-00-12021-5
FK26-6-A,PHF-11-10212-3
FK26-6-B,PHF-11-10165-3
FK26-7-A,PRO-00-90573-5
FK26-7-B,SPI-00-11574-5
FK26-8-A,PHF-11-10827-3
FK26-8-B,SPI-00-50299-5
FK27-1-A,PHF-11-10304-3
FK27-1-B,PCK-00-102737-5
FK27-2-A,PHF-11-132611-5
FK27-2-B,PHF-11-10164-3
FK27-3-A,PHF-11-00016-3
FK27-4-A,PRO-00-123230-5
FK27-4-B,SPI-00-90515-5
FK27-5-A,PHF-11-10303-3
FK27-6-A,PRO-00-90576-5
FK27-6-B,DRY-00-142139-5
FK27-7-A,PHF-11-10433-3
FK27-7-B,SPI-00-146162-5
FK27-8-A,PRO-00-123231-5
FK27-8-B,SPI-00-90516-5
FK27-9-A,PHF-11-10404-3
FK27-9-B,SPI-00-146163-5
FK27-10-A,PRO-00-90460-5
FK27-10-B,PHF-11-10692-3
FK27-11-A,PHF-11-10299-3
FK27-11-B,PHF-11-10042-3
FK27-12-A,PHF-11-150274-5
FK27-13-A,PRO-00-123233-5
FK27-13-B,PHF-11-10791-3
FK27-14-A,PRO-00-90459-5
FK27-14-B,PHF-11-10101-3
FK28-1-A,PCK-00-102736-5
FK28-1-B,PCK-00-102737-5
FK28-2-A,PRO-00-10736-5
FK28-2-B,PHF-11-10164-3
FK28-3-A,PRO-00-10731-5
FK28-3-B,SPI-00-132265-5
FK28-4-A,PRO-00-90545-5
FK28-4-B,SPI-00-11653-5
FK28-5-A,PRO-00-10730-5
FK28-5-B,SPI-00-131963-5
FK28-6-A,PHF-11-10107-3
FK28-6-B,DRY-00-10012-5
FK28-7-A,DRY-00-10277-5
FK28-7-B,SPI-00-90492-5
FK28-8-A,PHF-11-117329-3
FK28-8-B,BAK-00-147471-5
FK28-9-A,PHF-11-00004-3
FK28-9-B,SPI-00-90508-5
FK28-10-A,PHF-11-150274-5
FK28-10-B,SPI-00-90493-5
FK28-11-A,DRY-00-10474-5
FK28-11-B,PRO-00-123233-5
FK28-12-A,PHF-11-10198-3
FK28-12-B,PHF-11-102520-3
FK28-13-A,PRO-00-90560-5
FK28-13-B,PRO-00-123232-5
FK28-14-A,PHF-11-10299-3
FK28-14-B,PHF-11-10298-3
FK29-1-A,PRO-00-10734-5
FK29-1-B,PCK-00-102737-5
FK29-2-A,PHF-11-132610-5
FK29-2-B,PHF-11-10164-3
FK29-3-A,DRY-00-90490-5
FK29-3-B,SPI-00-138740-5
FK29-4-A,PHF-11-10074-3
FK29-4-B,SPI-00-12021-5
FK29-5-A,DRY-00-90489-5
FK29-5-B,SPI-00-90527-5
FK29-6-A,PRO-00-90457-5
FK29-6-B,SPI-00-11573-5
FK29-7-A,DRY-00-140999-5
FK29-7-B,DRY-00-142394-5
FK29-8-A,PHF-11-10912-3
FK29-8-B,SPI-00-138739-5
FK29-9-A,DRY-00-10462-5
FK29-9-B,SPI-00-90498-5
FK29-10-A,PRO-00-90458-5
FK29-10-B,SPI-00-11574-5
FK29-11-A,PHF-11-10322-3
FK29-11-B,DRY-00-90488-5
FK29-12-A,DRY-00-10476-5
FK29-12-B,PRO-00-90579-5
FK29-13-A,PHF-11-10298-3
FK29-13-B,PHF-11-10306-3
FK29-14-A,PHF-11-10791-3
FK29-14-B,PHF-11-102520-3
FK30-1-A,PCK-00-102736-5
FK30-1-B,PCK-00-102737-5
FK30-2-A,PHF-11-132609-5
FK30-2-B,PHF-11-10164-3
FK30-3-A,PRO-00-10735-5
FK30-3-B,BAK-00-003853-5
FK30-4-A,PHF-11-10138-3
FK30-4-B,PRO-00-123229-5
FK30-5-A,PHF-11-10107-3
FK30-5-B,DRY-00-142394-5
FK30-6-A,PHF-11-10136-3
FK30-6-B,BAK-00-003852-5
FK30-7-A,PHF-11-10074-3
FK30-7-B,DRY-00-142002-5
FK30-8-A,PHF-11-10359-3
FK30-8-B,SPI-00-90516-5
FK30-9-A,PHF-11-00004-3
FK30-9-B,BAK-00-003854-5
FK30-10-A,SPI-00-90517-5
FK30-10-B,DRY-00-143404-5
FK30-11-A,PRO-00-90573-5
FK30-11-B,PRO-00-001541-5
FK30-12-A,PHF-11-10042-3
FK30-12-B,SPI-00-139672-5
FK30-13-A,PHF-11-10848-3
FK30-13-B,SPI-00-101531-5
FK30-14-A,PHF-11-10299-3
FK30-14-B,PHF-11-10704-3
FK31-1-A,PCK-00-105564-5
FK31-1-B,PCK-00-102736-5
FK31-2-A,PHF-11-10187-3
FK31-2-B,PCK-00-102737-5
FK31-3-A,PHF-11-132611-5
FK31-3-B,SPI-00-101531-5
FK31-4-A,PRO-00-123230-5
FK31-4-B,PRO-00-123229-5
FK31-5-A,PHF-11-132613-5
FK31-5-B,SPI-00-12084-5
FK31-6-A,PHF-11-10433-3
FK31-6-B,PRO-00-10064-5
FK31-7-A,PHF-11-10074-3
FK31-7-B,DRY-00-141706-5
FK31-8-A,PRO-00-134065-5
FK31-8-B,SPI-00-11644-5
FK31-9-A,PHF-11-150274-5
FK31-9-B,DRY-00-141335-5
FK31-10-A,PHF-11-117329-3
FK31-10-B,SPI-00-11645-5
FK31-11-A,PRO-00-123231-5
FK31-11-B,SPI-00-90518-5
FK31-12-A,PRO-00-128882-3
FK31-12-B,PHF-11-10864-3
FK31-13-A,PRO-00-50340-5
FK31-13-B,PHF-11-10306-3
FK31-14-A,PRO-00-129170-5
FK31-14-B,PHF-11-10746-3
FK32-1-A,PCK-00-102736-5
FK32-1-B,PRO-00-10716-5
FK32-2-A,PHF-11-10187-3
FK32-2-B,DRY-00-141335-5
FK32-3-A,PRO-00-90449-5
FK32-3-B,SPI-00-11574-5
FK32-4-A,PHF-11-132611-5
FK32-4-B,DRY-00-143148-5
FK32-5-A,PHF-11-10107-3
FK32-5-B,SPI-00-133290-5
FK32-6-A,PHF-11-132610-5
FK32-6-B,SPI-00-11573-5
FK32-7-A,DRY-00-10476-5
FK32-7-B,DRY-00-141706-5
FK32-8-A,PHF-11-10074-3
FK32-8-B,PRO-00-10064-5
FK32-9-A,PHF-11-10404-3
FK32-9-B,SPI-00-90499-5
FK32-10-A,DRY-00-10460-5
FK32-10-B,SPI-00-12021-5
FK32-11-A,PHF-11-10433-3
FK32-11-B,SPI-00-90500-5
FK32-12-A,DRY-00-10462-5
FK32-12-B,PHF-11-10791-3
FK32-13-A,PRO-00-90448-5
FK32-13-B,PHF-11-10298-3
FK32-14-A,PHF-11-10164-3
FK32-14-B,PRO-00-124700-5
AD-01-B-1B,PRO-00-004324-2
AD-01-B-1C,CON-11-130118-3
AD-01-B-2B,PRO-00-135270-3
AD-01-B-2C,PTN-11-151149-3
AD-01-B-3C,BAK-11-122786-3
AD-01-B-4C,PRO-00-133294-3
AD-01-B-5C,BAK-00-128706-3
AD-01-B-6B,DRY-00-143905-3
AD-01-B-6C,DAI-00-139408-3
AD-01-B-7B,PRO-00-133293-3
